site,impact types,burrow shape,beach slope,sand compaction,sand grain size,inclination angle,burrow depth,average burrow diameter,burrow opening diameter (mm),burrow length,distance to vegetation,burrow temperature,burrow humidity,latitude,longitude,day,month,year
Isle of Palm 1,MI,L,7.263,0.1,0.268835733,68,87,61.5,62,112,13.78,23.45,76.24,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,Y,7.263,0.1,0.268835733,53,31,28.88,30,58,18.65,26.72,69.28,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,I,7.263,0.1,0.268835733,63,33,24.29,26,65,22.64,25.49,72.36,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,Y,7.263,0.1,0.268835733,56,53,31.1,34,68,3.47,24.12,74.42,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,I,7.263,0.1,0.268835733,54,41,35.63,37,56,8.12,24.51,72.54,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,I,7.263,0.1,0.268835733,58,31,25.55,27,66,4.55,25.31,73.74,32.79860578,-79.749304,27,June,2016
Isle of Palm 1,MI,Y,7.263,0.1,0.268835733,58,57,38.9,44,77,2.68,27.71,61.62,32.79860578,-79.749304,27,June,2016
Edisto Beach,MI,Y,11.09,0.1,0.520716667,46,64,48,49,81,13.41,26.14,60.27,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,I,11.09,0.1,0.520716667,54,51,38.6,41,69,18.36,26.41,61.75,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,Y,11.09,0.1,0.520716667,47,43,41.78,40,54,15.24,27.71,63.87,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,L,11.09,0.1,0.520716667,47,33,33.25,37,62,3.57,26.08,62.21,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,V,11.09,0.1,0.520716667,59,37,41.71,33,68,6.88,27.87,60.8,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,U,11.09,0.1,0.520716667,55,32,24.86,24,42,16.31,26.13,61.15,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,I,11.09,0.1,0.520716667,58,29,21.2,20,46,9.25,24.16,64.64,32.490027,-80.314865,10,August,2016
Edisto Beach,MI,Y,11.09,0.1,0.520716667,36,43,30.88,38,51,13.44,27.84,60.07,32.490027,-80.314865,10,August,2016
Surfside Beach 1,HI,I,10.07,0.1,0.288895,53,42,31.71,44,62,19.57,27.55,58.78,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,U,10.07,0.1,0.288895,57,40,32.43,38,49,8.32,26.29,62.55,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,J,10.07,0.1,0.288895,67,26,15.18,20,36,2.15,28.98,57.35,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,I,10.07,0.1,0.288895,51,29,16.44,23,38,6.77,26.64,61.71,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,Y,10.07,0.1,0.288895,55,34,19.2,26,35,12.57,27.55,58.44,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,J,10.07,0.1,0.288895,37,19,11.18,15,26,9.78,28.44,59.16,33.605265,-78.972067,12,June,2016
Surfside Beach 1,HI,Y,10.07,0.1,0.288895,35,43,32.26,40,47,4.66,28.96,57.39,33.605265,-78.972067,12,June,2016
Surfside Beach 2,HI,I,10.07,0.1,0.306132467,56,28,30.88,37,41,9.31,26.84,56.5,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,M,10.07,0.1,0.306132467,33,25,15.5,22,30,15.21,27.84,56.39,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,Y,10.07,0.1,0.306132467,51,33,20.29,27,48,1.24,25.69,63.32,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,U,10.07,0.1,0.306132467,47,21,13.5,18,29,7.64,28.16,60.16,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,I,10.07,0.1,0.306132467,62,45,36.43,42,51,4.41,29.01,60.85,33.605265,-78.972067,3,August,2016
Sullivan's Island,HI,J,4.184,0.131,0.359372533,50,42,29.46,35,61,9.31,28.13,59.13,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,U,4.184,0.131,0.359372533,63,42,27.43,33,53,7.76,28.6,57.48,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,Y,4.184,0.131,0.359372533,52,36,29.17,33,42,16.35,27.92,60.02,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,I,4.184,0.131,0.359372533,55,48,30.4,34,74,2.28,28.73,57.95,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,V,4.184,0.131,0.359372533,62,31,20.47,25,42,18.62,29.16,55.25,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,L,4.184,0.131,0.359372533,59,27,19.67,22,32,12.71,27.06,56.39,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,I,4.184,0.131,0.359372533,53,32,17.5,20,45,9.36,25.9,59.71,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,Y,4.184,0.131,0.359372533,46,50,26.1,31,60,14.78,27.55,66.16,32.757513,-79.837562,23,June,2016
Isle of Palm 2,HI,I,10.283,0.1,0.3487502,48,74,36.93,43,91,12.35,23.91,71.36,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,V,10.283,0.1,0.3487502,62,50,37.5,48,59,8.84,27.06,69.16,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,V,10.283,0.1,0.3487502,51,29,22,27,42,13.53,28.73,68.9,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,I,10.283,0.1,0.3487502,50,35,22.57,30,43,16.42,26.29,72.28,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,Y,10.283,0.1,0.3487502,39,34,19.5,25,41,11.55,26.47,73.32,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,M,10.283,0.1,0.3487502,58,46,22.4,25,61,3.58,24.32,74.73,32.778406,-79.800705,24,July,2016
Burkes Beach,HI,Y,9.73,0.084,0.364010333,54,52,29.72,33,68,8.54,24.66,69.14,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,I,9.73,0.084,0.364010333,56,83,33.3,44,94,3.47,27.5,63.51,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,L,9.73,0.084,0.364010333,59,58,25.15,32,69,9.31,26.63,62.13,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,V,9.73,0.084,0.364010333,58,34,22.69,28,55,4.79,27.7,64.48,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,M,9.73,0.084,0.364010333,67,31,26.64,33,52,11.63,27.92,63.27,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,I,9.73,0.084,0.364010333,66,42,30.72,33,54,16.41,28.59,61.88,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,I,9.73,0.084,0.364010333,59,49,22.44,30,54,18.39,25.11,52.05,32.192852,-80.696085,20,August,2016
Myrtle Beach 1,HV,I,14.49,0.125,0.396665333,43,47,28.5,38,54,15.28,24.05,51.38,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,I,14.49,0.125,0.396665333,39,48,25.31,36,53,3.94,28.7,48.46,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,Y,14.49,0.125,0.396665333,48,60,26.85,34,68,6.25,24.58,50.09,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,I,14.49,0.125,0.396665333,44,25,13.25,18,28,11.47,23.6,55.41,33.735633,-78.824277,29,May,2016
Myrtle Beach 1,HV,I,14.49,0.125,0.396665333,24,48,21.5,28,52,8.63,27.15,60.72,33.735633,-78.824277,29,May,2016
Myrtle Beach 2,HV,I,13.67,0.118,0.3853928,32,54,25.31,33,47,16.31,29.61,54.44,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,J,13.67,0.118,0.3853928,48,40,26.21,32,42,13.55,26.6,60.54,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,U,13.67,0.118,0.3853928,38,42,30.4,36,55,11.77,28.17,56.04,33.688544,-78.882367,20,July,2016
