site,impact types,quadrat,julian day,burrow number,burrow density,latitude,longitude,day,month,year
Surfside Beach 2,HI,T2,216,4,0.08,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T3,216,6,0.12,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T3,216,5,0.1,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T3,216,5,0.1,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T4,216,6,0.12,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T4,216,6,0.12,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T4,216,4,0.08,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T5,216,5,0.1,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T5,216,6,0.12,33.605265,-78.972067,3,August,2016
Surfside Beach 2,HI,T5,216,7,0.14,33.605265,-78.972067,3,August,2016
Sullivan's Island,HI,T1,175,9,0.18,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T1,175,11,0.22,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T1,175,8,0.16,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T2,175,5,0.1,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T2,175,3,0.06,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T2,175,6,0.12,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T3,175,7,0.14,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T3,175,4,0.08,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T3,175,5,0.1,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T4,175,6,0.12,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T4,175,5,0.1,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T4,175,4,0.08,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T5,175,8,0.16,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T5,175,8,0.16,32.757513,-79.837562,23,June,2016
Sullivan's Island,HI,T5,175,10,0.2,32.757513,-79.837562,23,June,2016
Isle of Palm 2,HI,T1,206,12,0.24,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T1,206,8,0.16,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T1,206,11,0.22,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T2,206,7,0.14,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T2,206,7,0.14,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T2,206,8,0.16,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T3,206,7,0.14,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T3,206,7,0.14,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T3,206,6,0.12,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T4,206,10,0.2,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T4,206,9,0.18,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T4,206,7,0.14,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T5,206,9,0.18,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T5,206,11,0.22,32.778406,-79.800705,24,July,2016
Isle of Palm 2,HI,T5,206,12,0.24,32.778406,-79.800705,24,July,2016
Burkes Beach,HI,T1,233,15,0.3,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T1,233,13,0.26,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T1,233,17,0.34,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T2,233,5,0.1,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T2,233,7,0.14,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T2,233,7,0.14,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T3,233,6,0.12,32.192852,-80.696085,20,August,2016
Burkes Beach,HI,T3,233,6,0.12,32.192852,-80.696085,20,August,2016
