site,impact types,burrow ID,distance to vegetation (m),burrow temperature,burrow humidity,ambient temperature,ambient humidity,latitude,longitude,day,month,year
Myrtle Beach 2,HV,5,1.75,26.6,61.16,32.25,52.03,33.688544,-78.882367,20,July,2016
Myrtle Beach 2,HV,6,6.24,28,55.48,32.25,52.03,33.688544,-78.882367,20,July,2016
N. Myrtle Beach 1,HV,1,2.84,26.04,54.24,31.778,55.6,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,2,9.35,23.82,58.39,31.778,55.6,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,3,7.55,24.21,64.5,31.778,55.6,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,4,8.41,26.11,55.25,31.778,55.6,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,5,12.64,27.04,57.53,31.778,55.6,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 1,HV,6,10.37,27.44,55.4,31.778,55.6,33.836894,-78.61251,5,June,2016
N. Myrtle Beach 2,HV,1,8.43,28.14,57.6,32.69,52.86,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,2,16.22,23.77,62.55,32.69,52.86,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,3,5.78,27.3,57.27,32.69,52.86,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,4,8.59,28.44,54.16,32.69,52.86,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,5,13.57,28.44,57.6,32.69,52.86,33.801645,-78.711638,11,July,2016
Garden City Beach,HV,1,9.66,26.64,60.65,33.21,53.47,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,2,12.45,29.27,57.39,33.21,53.47,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,3,17.41,25.9,59.71,33.21,53.47,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,4,12.57,26.11,60.97,33.21,53.47,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,5,7.35,26.14,61.32,33.21,53.47,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,6,15.14,28.47,59.75,33.21,53.47,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,7,16.78,24.18,75.26,33.21,53.47,33.57457072,-79.000082,2,July,2016
